Serial No,Inventory No,Inventory Type,Department,Items Name,Total Purchased,Opening Balance,Closing Balance,Total Balance,Total Issue,Total Return,Total Damage,Total Missing,Image
135,IN-Kullhad-001,Kullhad,KULLHAD,k-2,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1FKOvX6NV80prND_LA0YGPLaII7zSF03B
136,IN-Kullhad-001,Kullhad,KULLHAD,k-3,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1QdISDtuEIW_I1wD5sfC9n6nvTuMVvI1j
137,IN-Kullhad-001,Kullhad,KULLHAD,k-4,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1p0i1iSN9Qo8TO0Z1CDmkffrRqLG2tLF3
138,IN-Kullhad-001,Kullhad,KULLHAD,k-5,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1DC8XzSo8QicCkcXNhOL4cZXhn5o0pnCe
139,IN-Kullhad-001,Kullhad,KULLHAD,k-6,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1r3iNmFUOF3262zc2Ma1N-iv5YQUVv4gh
140,IN-Decor-001,Decor,Kansa,Kansa Pot,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1D-wXbRGL1RMMH_zDOP775EUceE3wASWl
141,IN-Decor-001,Decor,Lamp,Laalteen,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1P6AO65cjfjwcZVhN1y-UFpKKJ-sMImv2
142,IN-Glass-001,Glass,Jaar,Line Glass,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1TSR5CjCXYATu_LUPckSFaxH46DZgIurz
143,IN-Decor-001,Decor,Bowl,Loha Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1PW4WYxZpQ5--C_3nxPDS1a_7MrzkVdGn
144,IN-Disposal-001,Disposal,Bamboo,M/BOAT,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1-iFCIh_F58A_qQXWFfPPrlumR_wMafyQ
145,IN-Glass-001,Glass,GLASS,MARTINI GLASS,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1O7hDaNvCW-ElEcdD2rJzuhebMDK-ol1v
146,IN-Crockery-001,Crockery,Green Glossy GG,MB-0044,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1Pmi9pYybCWaGpxd53huIo2ID2kczSeZK
